,1a,1b,1c,1d,1e,1f,1g,1h,1i,2a,2b,2c,2d,2e,2f,2g,2h,2i
2022/05/07 10:48:29,178.89904311788,282.5688847505747,168.46622746916398,129.5774563391185,131.6574765759933,116.13341599830493,133.83456602810793,380.3947908723652,349.61689001321264,827.5171304026443,1036.1766855500973,789.9466250579915,213.9305860353367,193.30649034039448,243.73160427515222,103.81469425232564,126.2022648543634,116.43906988338216
2022/05/07 10:48:31,179.03146984043335,282.58811366413374,168.45645110963116,129.6343134941598,131.6479973135139,116.1334159983049,133.81587013287455,380.5984610500555,349.7659930881074,828.3663401235851,1037.2478604407097,790.5121198538858,214.00183855007464,193.3260825453649,243.78093666479626,103.90013844512592,126.2022648543634,116.4193193838684
2022/05/07 10:48:33,179.16389656298662,282.6073425776928,168.4466747500984,129.69117064920113,131.63851805103454,116.1334159983049,133.7878262900245,380.7715807010924,349.8952157530162,829.177807190262,1038.280083517118,791.0478517657858,214.0730910648126,193.3358786478501,243.82040257651144,103.98558263792619,126.2022648543634,116.39956888435462
2022/05/07 10:48:35,179.28686423392895,282.6169570344724,168.42712203103278,129.7480278042424,131.62903878855516,116.1334159983049,133.75978244717444,380.9141498254757,350.00455800793907,829.9232246119766,1039.2441409186692,791.5240579096971,214.14434357955054,193.3456747503353,243.84013553236903,104.07102683072644,126.20226485436339,116.37981838484086
2022/05/07 10:48:37,179.40983190487128,282.61695703447236,168.39779295243437,129.79540876677683,131.6195595260758,116.1334159983049,133.7223906567077,381.0465354409744,350.0840796478829,830.6686420336914,1040.2081983202206,792.0002640536082,214.2054171636116,193.35547085282047,243.8302690544402,104.14697722432668,126.2022648543634,116.3600678853271
2022/05/07 10:49:12,179.5327995758136,282.5977281209133,168.368463873836,129.83331353680435,131.60060100111707,116.1334159983049,133.68499886624093,381.1789210564732,350.0940198528759,831.3951881282743,1041.1625177682208,792.466549236188,214.2664907476727,193.35547085282045,243.82040257651144,104.21343381872688,126.20226485436339,116.34031738581334
2022/05/07 10:49:14,179.61793104031216,282.49196909633844,168.29025299757362,129.8238373442975,131.5532046887202,116.1144925151701,133.62891118054083,381.2705726364339,350.054259032904,832.046248914329,1041.9610299594046,792.7939409601269,214.28684860902638,193.3162864428797,243.79080314272505,104.26090281472703,126.1817524992469,116.3008163867858
2022/05/07 10:49:17,179.6841444015888,282.34775224464533,168.19248940224566,129.8048849592837,131.47737058888524,116.08610729046788,133.55412759960734,381.311306671972,349.99461780294604,832.6501313825537,1042.7108523828333,793.0915698000714,214.28684860902638,193.25750982796848,243.72173779722343,104.3083718107272,126.13047161145562,116.24156488824453
2022/05/07 10:49:19,179.73143965964357,282.1554631090546,168.0751730878521,129.77645638176307,131.3920572265709,116.04826032419827,133.46999607105712,381.33167368974097,349.9051559580092,833.2257068600803,1043.421722992058,793.34951479469,214.27666967834952,193.18893711057214,243.62307301793544,104.34634700752731,126.0586783685478,116.16256289018949
2022/05/07 10:49:21,179.75981681447638,281.9343306031253,167.94808041392574,129.73855161173552,131.29726460177716,116.00095161636125,133.35782069965688,381.33167368974097,349.80575390807934,833.8012823376068,1044.1325936012827,793.6074597893086,214.2664907476727,193.12036439317575,243.52440823864745,104.38432220432743,125.98688512564,116.08356089213444
