,2W,2R_B,2L_B,2L_F,1test
2022/05/07 05:40:11,42.57743919453693,157.78244235234922,170.26724568530082,29.994179662687483,259.6506991381264
2022/05/07 05:40:12,42.945823231283825,159.04342209083643,171.61384010378134,30.247706538900054,261.7327662084098
2022/05/07 05:40:14,43.314207268030735,160.3044018293236,172.96043452226186,30.501233415112626,263.8247953220918
2022/05/07 05:40:48,43.71167425504713,161.56538156781082,174.30702894074236,30.774262358726173,265.9168244357738
2022/05/07 05:40:50,44.10914124206353,162.826361306298,175.64400482766234,31.047291302339712,268.00885354945575
2022/05/07 05:40:52,44.49691391232343,164.0873410447852,176.98098071458222,31.32032024595325,270.1008826631377
2022/05/07 05:40:53,44.88468658258333,165.34832078327238,178.3083380699416,31.583598155866305,272.18294973342114
2022/05/07 05:40:55,45.28215356959972,166.60930052175962,179.64531395686154,31.846876065779366,274.25505476030617
2022/05/07 05:40:57,45.67962055661612,167.87969055680267,180.9822898437815,32.11015397569242,276.3171977437927
2022/05/07 05:40:59,46.05769891011952,169.05597762628702,182.26155454133797,32.363680851904995,278.2797202932943
2022/05/07 05:41:01,46.435777263622924,170.2322646957713,183.5408192388945,32.60745669441708,280.242242842796
2022/05/07 05:41:38,46.81385561712633,171.40855176525562,184.81046540489038,32.86098357062965,282.1948033488991
2022/05/07 05:41:40,47.19193397062973,172.58483883473994,186.07049303932573,33.11451044684223,284.15732589840076
2022/05/07 05:41:42,47.56031800737663,173.77053620078016,187.34013920532166,33.3680373230548,286.1098864045039
2022/05/07 05:41:44,47.92870204412354,174.95623356682037,188.60016683975698,33.621564199267375,288.08237099740404
2022/05/07 05:41:46,48.297086080870436,176.15134122941643,189.86019447419235,33.87509107547994,290.0448935469057
2022/05/07 05:41:48,48.665470117617346,177.34644889201252,191.12022210862767,34.12861795169252,292.0173781398058
2022/05/07 05:41:50,49.01446552085125,178.45686388560569,192.2744458958967,34.372393794204605,293.85039412512714
2022/05/07 05:41:51,49.36346092408516,179.55786858264304,193.41905115160515,34.6161696367167,295.67344806705
2022/05/07 05:42:25,49.71245632731907,180.64946298312447,194.55403787575298,34.85994547922879,297.4666158787774
2022/05/07 05:42:27,50.06145173055298,181.73164708705005,195.67940606834026,35.10372132174088,299.25978369050483
2022/05/07 05:42:29,50.410447133786896,182.8138311909756,196.795155729367,35.34749716425297,301.0429894588337
2022/05/07 05:42:31,50.759442537020796,183.89601529490122,197.91090539039374,35.59127300676506,302.80627114036565
2022/05/07 05:42:33,51.1084379402547,184.9687891022709,199.01703651985983,35.83504884927715,304.56955282189756
2022/05/07 05:42:34,51.45743334348862,186.04156290964062,200.13278618088657,36.07882469178924,306.322872460031
2022/05/07 05:42:36,51.79673442996602,187.0390543445633,201.1619690578681,36.30309846690036,307.9267614471872
2022/05/07 05:42:38,52.12634119968694,188.03654577948606,202.2007704664102,36.52737224201148,309.5306504343434
2022/05/07 05:43:14,52.475336602920855,189.06226810407637,203.35499425367922,36.761397050823085,311.2241978120859
2022/05/07 05:43:16,52.82433200615476,190.0879904286667,204.50921804094824,36.99542185963469,312.92770723322695
2022/05/07 05:43:17,53.17332740938866,191.113712753257,205.6634418282173,37.2294466684463,314.6312166543679
2022/05/07 05:43:19,53.522322812622576,192.1488453744032,206.81766561548625,37.463471477257904,316.32476403211047
2022/05/07 05:43:21,53.87131821585649,193.18397799554944,207.97188940275532,37.69749628606951,318.0282734532515
2022/05/07 05:43:23,54.2203136190904,194.20970032013977,209.1261131900243,37.93152109488111,319.72182083099403
2022/05/07 05:43:25,54.54022607205482,195.1224990860596,210.174533130127,38.146043836291746,321.2958236879548
2022/05/07 05:43:27,54.86983284177573,196.02588755542357,211.2229530702297,38.36056657770239,322.859864501517
2022/05/07 05:44:02,55.19943961149665,197.02337899034626,212.3387027312564,38.57508931911303,324.5733359660565
2022/05/07 05:44:04,55.52904638121756,198.01146012871308,213.45445239228312,38.779861026823184,326.2768453871975
2022/05/07 05:44:06,55.85865315093848,198.9995412670799,214.55096499018867,38.98463273453334,327.97039276494
2022/05/07 05:44:08,56.17856560390289,199.98762240544679,215.63785905653367,39.1894044422435,329.6639401426826
2022/05/07 05:44:10,56.498478056867306,200.9757035438136,216.7247531228787,39.39417614995365,331.33756343362813
2022/05/07 05:44:12,56.81839050983173,201.96378468218043,217.81164718922363,39.59894785766381,333.00122468117524
2022/05/07 05:44:13,57.10922001252665,202.820121668765,218.7831188768417,39.79396853167348,334.45568301735415
2022/05/07 05:44:15,57.400049515221575,203.66704835879375,219.75459056445982,39.979238171982665,335.9201033969315
2022/05/07 05:44:49,57.6908790179165,204.56102653160178,220.8126290361231,40.193760913393305,337.44429603689974
2022/05/07 05:44:51,57.991402837367914,205.45500470440993,221.87066750778638,40.408283654803945,338.9585266334696
2022/05/07 05:44:53,58.29192665681934,206.34898287721796,222.9287059794496,40.62280639621458,340.47275723003935
2022/05/07 05:44:56,58.59245047627077,207.25237134658192,223.9771259195523,40.83732913762522,341.97702578321065
2022/05/07 05:44:58,58.88327997896569,208.1557598159459,225.02554585965498,41.06160291273634,343.47133229298356
2022/05/07 05:45:00,59.174109481660615,209.05914828530985,226.0643472681971,41.28587668784746,344.9656388027563
2022/05/07 05:45:02,59.45524466759903,209.9625367546738,227.1031486767392,41.50039942925811,346.45994531252916
2022/05/07 05:45:39,59.79454575407645,210.8941561137054,228.1515686168419,41.72467320436923,348.02398612609136
2022/05/07 05:45:41,60.13384684055387,211.83518576929285,229.20960708850518,41.94894697948035,349.5880269396536
